state,sha256,owner_pointer,owner_flag,cursor_destination_nonzero_bytes,bottom_help_packet_y,bottom_help_widths
1,4CC1EFB8E380FDBF93EFBBBC14453243553C5A67E3698FAE01376B8B5A895EAC,0x801F52BC,1,288,104 122,16
2,D00E637A28531DB82104CA9EBA2C60F9B8851ADD4F8120446018A8C470BC14E2,0x801F52BC,1,288,214 215,12 16
3,B243485DAD00FF627E273BAFEA62185D5EB82D0DC54AC00EB387F3D0DBE024AB,0x801F52BC,1,288,214 215,12 16 20
4,4482C8A63F90184F4BA34666C7DF103AA0073B7780C35317B97A702FD1E35049,0x00000000,0,288,,
5,F06F7877D29D2A57820C0CCA6F0776D782A122832B069B10B7DD80D8EB6B5011,0x801F52BC,0,0,214 215,12 16
6,F108FE19EF7D7BD624D7F170DA1E2D1952F7DB52BEBF12E2873D2BE9B9952AAF,0x801F52BC,0,0,214,16
