char,unicode,cho,jung,jong,v240_cho_piece,v240_jung_piece,v240_jong_piece,official_cho_piece,official_jung_piece,official_jong_piece,pixel_hamming,changed
가,U+AC00,0,0,0,1,183,-1,1,161,-1,0,0
각,U+AC01,0,0,1,81,227,249,101,205,249,18,1
갂,U+AC02,0,0,2,81,227,250,101,205,250,18,1
갃,U+AC03,0,0,3,81,227,251,101,205,251,18,1
간,U+AC04,0,0,4,81,227,252,101,205,252,18,1
갅,U+AC05,0,0,5,81,227,253,101,205,253,18,1
갆,U+AC06,0,0,6,81,227,254,101,205,254,18,1
갇,U+AC07,0,0,7,81,227,255,101,205,255,18,1
갈,U+AC08,0,0,8,81,227,256,101,205,256,18,1
갉,U+AC09,0,0,9,81,227,257,101,205,257,18,1
갊,U+AC0A,0,0,10,81,227,258,101,205,258,18,1
갋,U+AC0B,0,0,11,81,227,259,101,205,259,18,1
갌,U+AC0C,0,0,12,81,227,260,101,205,260,18,1
갍,U+AC0D,0,0,13,81,227,261,101,205,261,18,1
갎,U+AC0E,0,0,14,81,227,262,101,205,262,18,1
갏,U+AC0F,0,0,15,81,227,263,101,205,263,18,1
감,U+AC10,0,0,16,81,227,264,101,205,264,18,1
갑,U+AC11,0,0,17,81,227,265,101,205,265,18,1
값,U+AC12,0,0,18,81,227,266,101,205,266,18,1
갓,U+AC13,0,0,19,81,227,267,101,205,267,18,1
갔,U+AC14,0,0,20,81,227,268,101,205,268,18,1
강,U+AC15,0,0,21,81,227,269,101,205,269,18,1
갖,U+AC16,0,0,22,81,227,270,101,205,270,18,1
갗,U+AC17,0,0,23,81,227,271,101,205,271,18,1
갘,U+AC18,0,0,24,81,227,272,101,205,272,18,1
같,U+AC19,0,0,25,81,227,273,101,205,273,18,1
갚,U+AC1A,0,0,26,81,227,274,101,205,274,18,1
갛,U+AC1B,0,0,27,81,227,275,101,205,275,18,1
개,U+AC1C,0,1,0,1,184,-1,1,162,-1,0,0
객,U+AC1D,0,1,1,81,228,249,101,206,305,27,1
갞,U+AC1E,0,1,2,81,228,250,101,206,306,35,1
갟,U+AC1F,0,1,3,81,228,251,101,206,307,19,1
갠,U+AC20,0,1,4,81,228,252,101,206,308,29,1
갡,U+AC21,0,1,5,81,228,253,101,206,309,38,1
갢,U+AC22,0,1,6,81,228,254,101,206,310,31,1
갣,U+AC23,0,1,7,81,228,255,101,206,311,28,1
갤,U+AC24,0,1,8,81,228,256,101,206,312,23,1
갥,U+AC25,0,1,9,81,228,257,101,206,313,27,1
갦,U+AC26,0,1,10,81,228,258,101,206,314,18,1
갧,U+AC27,0,1,11,81,228,259,101,206,315,18,1
갨,U+AC28,0,1,12,81,228,260,101,206,316,18,1
갩,U+AC29,0,1,13,81,228,261,101,206,317,18,1
갪,U+AC2A,0,1,14,81,228,262,101,206,318,18,1
갫,U+AC2B,0,1,15,81,228,263,101,206,319,18,1
갬,U+AC2C,0,1,16,81,228,264,101,206,320,34,1
갭,U+AC2D,0,1,17,81,228,265,101,206,321,34,1
갮,U+AC2E,0,1,18,81,228,266,101,206,322,18,1
갯,U+AC2F,0,1,19,81,228,267,101,206,323,18,1
갰,U+AC30,0,1,20,81,228,268,101,206,324,18,1
갱,U+AC31,0,1,21,81,228,269,101,206,325,34,1
갲,U+AC32,0,1,22,81,228,270,101,206,326,37,1
갳,U+AC33,0,1,23,81,228,271,101,206,327,24,1
갴,U+AC34,0,1,24,81,228,272,101,206,328,26,1
갵,U+AC35,0,1,25,81,228,273,101,206,329,21,1
갶,U+AC36,0,1,26,81,228,274,101,206,330,22,1
갷,U+AC37,0,1,27,81,228,275,101,206,331,24,1
갸,U+AC38,0,2,0,1,185,-1,1,163,-1,0,0
갹,U+AC39,0,2,1,81,229,249,101,207,249,18,1
갺,U+AC3A,0,2,2,81,229,250,101,207,250,18,1
갻,U+AC3B,0,2,3,81,229,251,101,207,251,18,1
갼,U+AC3C,0,2,4,81,229,252,101,207,252,18,1
갽,U+AC3D,0,2,5,81,229,253,101,207,253,18,1
갾,U+AC3E,0,2,6,81,229,254,101,207,254,18,1
갿,U+AC3F,0,2,7,81,229,255,101,207,255,18,1
걀,U+AC40,0,2,8,81,229,256,101,207,256,18,1
걁,U+AC41,0,2,9,81,229,257,101,207,257,18,1
걂,U+AC42,0,2,10,81,229,258,101,207,258,18,1
걃,U+AC43,0,2,11,81,229,259,101,207,259,18,1
걄,U+AC44,0,2,12,81,229,260,101,207,260,18,1
걅,U+AC45,0,2,13,81,229,261,101,207,261,18,1
걆,U+AC46,0,2,14,81,229,262,101,207,262,18,1
걇,U+AC47,0,2,15,81,229,263,101,207,263,18,1
걈,U+AC48,0,2,16,81,229,264,101,207,264,18,1
걉,U+AC49,0,2,17,81,229,265,101,207,265,18,1
걊,U+AC4A,0,2,18,81,229,266,101,207,266,18,1
걋,U+AC4B,0,2,19,81,229,267,101,207,267,18,1
걌,U+AC4C,0,2,20,81,229,268,101,207,268,18,1
걍,U+AC4D,0,2,21,81,229,269,101,207,269,18,1
걎,U+AC4E,0,2,22,81,229,270,101,207,270,18,1
걏,U+AC4F,0,2,23,81,229,271,101,207,271,18,1
걐,U+AC50,0,2,24,81,229,272,101,207,272,18,1
걑,U+AC51,0,2,25,81,229,273,101,207,273,18,1
걒,U+AC52,0,2,26,81,229,274,101,207,274,18,1
걓,U+AC53,0,2,27,81,229,275,101,207,275,18,1
걔,U+AC54,0,3,0,1,186,-1,1,164,-1,0,0
걕,U+AC55,0,3,1,81,230,249,101,208,305,27,1
걖,U+AC56,0,3,2,81,230,250,101,208,306,35,1
걗,U+AC57,0,3,3,81,230,251,101,208,307,19,1
걘,U+AC58,0,3,4,81,230,252,101,208,308,29,1
걙,U+AC59,0,3,5,81,230,253,101,208,309,38,1
걚,U+AC5A,0,3,6,81,230,254,101,208,310,31,1
걛,U+AC5B,0,3,7,81,230,255,101,208,311,28,1
걜,U+AC5C,0,3,8,81,230,256,101,208,312,23,1
걝,U+AC5D,0,3,9,81,230,257,101,208,313,27,1
걞,U+AC5E,0,3,10,81,230,258,101,208,314,18,1
걟,U+AC5F,0,3,11,81,230,259,101,208,315,18,1
걠,U+AC60,0,3,12,81,230,260,101,208,316,18,1
걡,U+AC61,0,3,13,81,230,261,101,208,317,18,1
걢,U+AC62,0,3,14,81,230,262,101,208,318,18,1
걣,U+AC63,0,3,15,81,230,263,101,208,319,18,1
걤,U+AC64,0,3,16,81,230,264,101,208,320,34,1
걥,U+AC65,0,3,17,81,230,265,101,208,321,34,1
걦,U+AC66,0,3,18,81,230,266,101,208,322,18,1
걧,U+AC67,0,3,19,81,230,267,101,208,323,18,1
걨,U+AC68,0,3,20,81,230,268,101,208,324,18,1
걩,U+AC69,0,3,21,81,230,269,101,208,325,34,1
걪,U+AC6A,0,3,22,81,230,270,101,208,326,37,1
걫,U+AC6B,0,3,23,81,230,271,101,208,327,24,1
걬,U+AC6C,0,3,24,81,230,272,101,208,328,26,1
걭,U+AC6D,0,3,25,81,230,273,101,208,329,21,1
걮,U+AC6E,0,3,26,81,230,274,101,208,330,22,1
걯,U+AC6F,0,3,27,81,230,275,101,208,331,24,1
거,U+AC70,0,4,0,1,187,-1,1,165,-1,0,0
걱,U+AC71,0,4,1,81,231,249,101,209,277,18,1
걲,U+AC72,0,4,2,81,231,250,101,209,278,18,1
걳,U+AC73,0,4,3,81,231,251,101,209,279,18,1
건,U+AC74,0,4,4,81,231,252,101,209,280,18,1
걵,U+AC75,0,4,5,81,231,253,101,209,281,18,1
걶,U+AC76,0,4,6,81,231,254,101,209,282,18,1
걷,U+AC77,0,4,7,81,231,255,101,209,283,18,1
걸,U+AC78,0,4,8,81,231,256,101,209,284,18,1
걹,U+AC79,0,4,9,81,231,257,101,209,285,18,1
걺,U+AC7A,0,4,10,81,231,258,101,209,286,18,1
걻,U+AC7B,0,4,11,81,231,259,101,209,287,18,1
걼,U+AC7C,0,4,12,81,231,260,101,209,288,18,1
걽,U+AC7D,0,4,13,81,231,261,101,209,289,18,1
걾,U+AC7E,0,4,14,81,231,262,101,209,290,18,1
걿,U+AC7F,0,4,15,81,231,263,101,209,291,18,1
검,U+AC80,0,4,16,81,231,264,101,209,292,18,1
겁,U+AC81,0,4,17,81,231,265,101,209,293,18,1
겂,U+AC82,0,4,18,81,231,266,101,209,294,18,1
것,U+AC83,0,4,19,81,231,267,101,209,295,18,1
겄,U+AC84,0,4,20,81,231,268,101,209,296,18,1
겅,U+AC85,0,4,21,81,231,269,101,209,297,18,1
겆,U+AC86,0,4,22,81,231,270,101,209,298,18,1
겇,U+AC87,0,4,23,81,231,271,101,209,299,18,1
겈,U+AC88,0,4,24,81,231,272,101,209,300,18,1
겉,U+AC89,0,4,25,81,231,273,101,209,301,18,1
겊,U+AC8A,0,4,26,81,231,274,101,209,302,18,1
겋,U+AC8B,0,4,27,81,231,275,101,209,303,18,1
게,U+AC8C,0,5,0,1,188,-1,1,166,-1,0,0
겍,U+AC8D,0,5,1,81,232,249,101,210,305,25,1
겎,U+AC8E,0,5,2,81,232,250,101,210,306,33,1
겏,U+AC8F,0,5,3,81,232,251,101,210,307,17,1
겐,U+AC90,0,5,4,81,232,252,101,210,308,27,1
겑,U+AC91,0,5,5,81,232,253,101,210,309,36,1
겒,U+AC92,0,5,6,81,232,254,101,210,310,29,1
겓,U+AC93,0,5,7,81,232,255,101,210,311,26,1
겔,U+AC94,0,5,8,81,232,256,101,210,312,21,1
겕,U+AC95,0,5,9,81,232,257,101,210,313,25,1
겖,U+AC96,0,5,10,81,232,258,101,210,314,16,1
겗,U+AC97,0,5,11,81,232,259,101,210,315,16,1
겘,U+AC98,0,5,12,81,232,260,101,210,316,16,1
겙,U+AC99,0,5,13,81,232,261,101,210,317,16,1
겚,U+AC9A,0,5,14,81,232,262,101,210,318,16,1
겛,U+AC9B,0,5,15,81,232,263,101,210,319,16,1
겜,U+AC9C,0,5,16,81,232,264,101,210,320,32,1
겝,U+AC9D,0,5,17,81,232,265,101,210,321,32,1
겞,U+AC9E,0,5,18,81,232,266,101,210,322,16,1
겟,U+AC9F,0,5,19,81,232,267,101,210,323,16,1
겠,U+ACA0,0,5,20,81,232,268,101,210,324,16,1
겡,U+ACA1,0,5,21,81,232,269,101,210,325,32,1
겢,U+ACA2,0,5,22,81,232,270,101,210,326,35,1
겣,U+ACA3,0,5,23,81,232,271,101,210,327,22,1
겤,U+ACA4,0,5,24,81,232,272,101,210,328,24,1
겥,U+ACA5,0,5,25,81,232,273,101,210,329,19,1
겦,U+ACA6,0,5,26,81,232,274,101,210,330,20,1
겧,U+ACA7,0,5,27,81,232,275,101,210,331,22,1
겨,U+ACA8,0,6,0,1,189,-1,1,167,-1,0,0
격,U+ACA9,0,6,1,81,233,249,101,211,277,18,1
겪,U+ACAA,0,6,2,81,233,250,101,211,278,18,1
겫,U+ACAB,0,6,3,81,233,251,101,211,279,18,1
견,U+ACAC,0,6,4,81,233,252,101,211,280,18,1
겭,U+ACAD,0,6,5,81,233,253,101,211,281,18,1
겮,U+ACAE,0,6,6,81,233,254,101,211,282,18,1
겯,U+ACAF,0,6,7,81,233,255,101,211,283,18,1
결,U+ACB0,0,6,8,81,233,256,101,211,284,18,1
겱,U+ACB1,0,6,9,81,233,257,101,211,285,18,1
겲,U+ACB2,0,6,10,81,233,258,101,211,286,18,1
겳,U+ACB3,0,6,11,81,233,259,101,211,287,18,1
겴,U+ACB4,0,6,12,81,233,260,101,211,288,18,1
겵,U+ACB5,0,6,13,81,233,261,101,211,289,18,1
겶,U+ACB6,0,6,14,81,233,262,101,211,290,18,1
겷,U+ACB7,0,6,15,81,233,263,101,211,291,18,1
겸,U+ACB8,0,6,16,81,233,264,101,211,292,18,1
겹,U+ACB9,0,6,17,81,233,265,101,211,293,18,1
겺,U+ACBA,0,6,18,81,233,266,101,211,294,18,1
겻,U+ACBB,0,6,19,81,233,267,101,211,295,18,1
겼,U+ACBC,0,6,20,81,233,268,101,211,296,18,1
경,U+ACBD,0,6,21,81,233,269,101,211,297,18,1
겾,U+ACBE,0,6,22,81,233,270,101,211,298,18,1
겿,U+ACBF,0,6,23,81,233,271,101,211,299,18,1
곀,U+ACC0,0,6,24,81,233,272,101,211,300,18,1
곁,U+ACC1,0,6,25,81,233,273,101,211,301,18,1
곂,U+ACC2,0,6,26,81,233,274,101,211,302,18,1
곃,U+ACC3,0,6,27,81,233,275,101,211,303,18,1
계,U+ACC4,0,7,0,1,190,-1,1,168,-1,0,0
곅,U+ACC5,0,7,1,81,234,249,101,212,305,25,1
곆,U+ACC6,0,7,2,81,234,250,101,212,306,33,1
곇,U+ACC7,0,7,3,81,234,251,101,212,307,17,1
곈,U+ACC8,0,7,4,81,234,252,101,212,308,27,1
곉,U+ACC9,0,7,5,81,234,253,101,212,309,36,1
곊,U+ACCA,0,7,6,81,234,254,101,212,310,29,1
곋,U+ACCB,0,7,7,81,234,255,101,212,311,26,1
곌,U+ACCC,0,7,8,81,234,256,101,212,312,21,1
곍,U+ACCD,0,7,9,81,234,257,101,212,313,25,1
곎,U+ACCE,0,7,10,81,234,258,101,212,314,16,1
곏,U+ACCF,0,7,11,81,234,259,101,212,315,16,1
곐,U+ACD0,0,7,12,81,234,260,101,212,316,16,1
곑,U+ACD1,0,7,13,81,234,261,101,212,317,16,1
곒,U+ACD2,0,7,14,81,234,262,101,212,318,16,1
곓,U+ACD3,0,7,15,81,234,263,101,212,319,16,1
곔,U+ACD4,0,7,16,81,234,264,101,212,320,32,1
곕,U+ACD5,0,7,17,81,234,265,101,212,321,32,1
곖,U+ACD6,0,7,18,81,234,266,101,212,322,16,1
곗,U+ACD7,0,7,19,81,234,267,101,212,323,16,1
곘,U+ACD8,0,7,20,81,234,268,101,212,324,16,1
곙,U+ACD9,0,7,21,81,234,269,101,212,325,32,1
곚,U+ACDA,0,7,22,81,234,270,101,212,326,35,1
곛,U+ACDB,0,7,23,81,234,271,101,212,327,22,1
곜,U+ACDC,0,7,24,81,234,272,101,212,328,24,1
곝,U+ACDD,0,7,25,81,234,273,101,212,329,19,1
곞,U+ACDE,0,7,26,81,234,274,101,212,330,20,1
곟,U+ACDF,0,7,27,81,234,275,101,212,331,22,1
고,U+ACE0,0,8,0,21,191,-1,21,169,-1,0,0
곡,U+ACE1,0,8,1,101,235,277,121,213,333,37,1
곢,U+ACE2,0,8,2,101,235,278,121,213,334,43,1
곣,U+ACE3,0,8,3,101,235,279,121,213,335,63,1
곤,U+ACE4,0,8,4,101,235,280,121,213,336,44,1
곥,U+ACE5,0,8,5,101,235,281,121,213,337,45,1
곦,U+ACE6,0,8,6,101,235,282,121,213,338,47,1
곧,U+ACE7,0,8,7,101,235,283,121,213,339,43,1
골,U+ACE8,0,8,8,101,235,284,121,213,340,43,1
곩,U+ACE9,0,8,9,101,235,285,121,213,341,53,1
곪,U+ACEA,0,8,10,101,235,286,121,213,342,51,1
곫,U+ACEB,0,8,11,101,235,287,121,213,343,51,1
곬,U+ACEC,0,8,12,101,235,288,121,213,344,65,1
곭,U+ACED,0,8,13,101,235,289,121,213,345,45,1
곮,U+ACEE,0,8,14,101,235,290,121,213,346,51,1
곯,U+ACEF,0,8,15,101,235,291,121,213,347,61,1
곰,U+ACF0,0,8,16,101,235,292,121,213,348,50,1
곱,U+ACF1,0,8,17,101,235,293,121,213,349,50,1
곲,U+ACF2,0,8,18,101,235,294,121,213,350,69,1
곳,U+ACF3,0,8,19,101,235,295,121,213,351,55,1
곴,U+ACF4,0,8,20,101,235,296,121,213,352,61,1
공,U+ACF5,0,8,21,101,235,297,121,213,353,59,1
곶,U+ACF6,0,8,22,101,235,298,121,213,354,58,1
곷,U+ACF7,0,8,23,101,235,299,121,213,355,49,1
곸,U+ACF8,0,8,24,101,235,300,121,213,356,39,1
곹,U+ACF9,0,8,25,101,235,301,121,213,357,45,1
곺,U+ACFA,0,8,26,101,235,302,121,213,358,57,1
곻,U+ACFB,0,8,27,101,235,303,121,213,359,53,1
과,U+ACFC,0,9,0,61,192,-1,61,170,-1,0,0
곽,U+ACFD,0,9,1,141,236,333,141,214,249,12,1
곾,U+ACFE,0,9,2,141,236,334,141,214,250,18,1
곿,U+ACFF,0,9,3,141,236,335,141,214,251,38,1
관,U+AD00,0,9,4,141,236,336,141,214,252,19,1
괁,U+AD01,0,9,5,141,236,337,141,214,253,20,1
괂,U+AD02,0,9,6,141,236,338,141,214,254,22,1
괃,U+AD03,0,9,7,141,236,339,141,214,255,18,1
괄,U+AD04,0,9,8,141,236,340,141,214,256,18,1
괅,U+AD05,0,9,9,141,236,341,141,214,257,28,1
괆,U+AD06,0,9,10,141,236,342,141,214,258,26,1
괇,U+AD07,0,9,11,141,236,343,141,214,259,26,1
괈,U+AD08,0,9,12,141,236,344,141,214,260,40,1
괉,U+AD09,0,9,13,141,236,345,141,214,261,20,1
괊,U+AD0A,0,9,14,141,236,346,141,214,262,26,1
괋,U+AD0B,0,9,15,141,236,347,141,214,263,36,1
괌,U+AD0C,0,9,16,141,236,348,141,214,264,25,1
괍,U+AD0D,0,9,17,141,236,349,141,214,265,25,1
괎,U+AD0E,0,9,18,141,236,350,141,214,266,44,1
괏,U+AD0F,0,9,19,141,236,351,141,214,267,30,1
괐,U+AD10,0,9,20,141,236,352,141,214,268,36,1
광,U+AD11,0,9,21,141,236,353,141,214,269,34,1
괒,U+AD12,0,9,22,141,236,354,141,214,270,33,1
괓,U+AD13,0,9,23,141,236,355,141,214,271,24,1
괔,U+AD14,0,9,24,141,236,356,141,214,272,14,1
괕,U+AD15,0,9,25,141,236,357,141,214,273,20,1
괖,U+AD16,0,9,26,141,236,358,141,214,274,32,1
괗,U+AD17,0,9,27,141,236,359,141,214,275,28,1
괘,U+AD18,0,10,0,61,193,-1,61,171,-1,0,0
괙,U+AD19,0,10,1,141,237,333,141,215,305,19,1
괚,U+AD1A,0,10,2,141,237,334,141,215,306,31,1
괛,U+AD1B,0,10,3,141,237,335,141,215,307,37,1
괜,U+AD1C,0,10,4,141,237,336,141,215,308,24,1
괝,U+AD1D,0,10,5,141,237,337,141,215,309,40,1
괞,U+AD1E,0,10,6,141,237,338,141,215,310,33,1
괟,U+AD1F,0,10,7,141,237,339,141,215,311,22,1
괠,U+AD20,0,10,8,141,237,340,141,215,312,23,1
괡,U+AD21,0,10,9,141,237,341,141,215,313,35,1
괢,U+AD22,0,10,10,141,237,342,141,215,314,26,1
괣,U+AD23,0,10,11,141,237,343,141,215,315,26,1
괤,U+AD24,0,10,12,141,237,344,141,215,316,40,1
괥,U+AD25,0,10,13,141,237,345,141,215,317,20,1
괦,U+AD26,0,10,14,141,237,346,141,215,318,26,1
괧,U+AD27,0,10,15,141,237,347,141,215,319,36,1
괨,U+AD28,0,10,16,141,237,348,141,215,320,35,1
괩,U+AD29,0,10,17,141,237,349,141,215,321,35,1
괪,U+AD2A,0,10,18,141,237,350,141,215,322,44,1
괫,U+AD2B,0,10,19,141,237,351,141,215,323,30,1
괬,U+AD2C,0,10,20,141,237,352,141,215,324,36,1
괭,U+AD2D,0,10,21,141,237,353,141,215,325,38,1
괮,U+AD2E,0,10,22,141,237,354,141,215,326,22,1
괯,U+AD2F,0,10,23,141,237,355,141,215,327,26,1
괰,U+AD30,0,10,24,141,237,356,141,215,328,20,1
괱,U+AD31,0,10,25,141,237,357,141,215,329,23,1
괲,U+AD32,0,10,26,141,237,358,141,215,330,32,1
괳,U+AD33,0,10,27,141,237,359,141,215,331,32,1
괴,U+AD34,0,11,0,61,194,-1,61,172,-1,0,0
괵,U+AD35,0,11,1,141,238,333,141,216,277,12,1
괶,U+AD36,0,11,2,141,238,334,141,216,278,18,1
괷,U+AD37,0,11,3,141,238,335,141,216,279,38,1
괸,U+AD38,0,11,4,141,238,336,141,216,280,19,1
괹,U+AD39,0,11,5,141,238,337,141,216,281,20,1
괺,U+AD3A,0,11,6,141,238,338,141,216,282,22,1
괻,U+AD3B,0,11,7,141,238,339,141,216,283,18,1
괼,U+AD3C,0,11,8,141,238,340,141,216,284,18,1
괽,U+AD3D,0,11,9,141,238,341,141,216,285,28,1
괾,U+AD3E,0,11,10,141,238,342,141,216,286,26,1
괿,U+AD3F,0,11,11,141,238,343,141,216,287,26,1
굀,U+AD40,0,11,12,141,238,344,141,216,288,40,1
굁,U+AD41,0,11,13,141,238,345,141,216,289,20,1
굂,U+AD42,0,11,14,141,238,346,141,216,290,26,1
굃,U+AD43,0,11,15,141,238,347,141,216,291,36,1
굄,U+AD44,0,11,16,141,238,348,141,216,292,25,1
굅,U+AD45,0,11,17,141,238,349,141,216,293,25,1
굆,U+AD46,0,11,18,141,238,350,141,216,294,44,1
굇,U+AD47,0,11,19,141,238,351,141,216,295,30,1
굈,U+AD48,0,11,20,141,238,352,141,216,296,36,1
굉,U+AD49,0,11,21,141,238,353,141,216,297,34,1
굊,U+AD4A,0,11,22,141,238,354,141,216,298,33,1
굋,U+AD4B,0,11,23,141,238,355,141,216,299,24,1
굌,U+AD4C,0,11,24,141,238,356,141,216,300,14,1
굍,U+AD4D,0,11,25,141,238,357,141,216,301,20,1
굎,U+AD4E,0,11,26,141,238,358,141,216,302,32,1
굏,U+AD4F,0,11,27,141,238,359,141,216,303,28,1
교,U+AD50,0,12,0,21,195,-1,21,173,-1,0,0
굑,U+AD51,0,12,1,101,239,277,121,217,333,37,1
굒,U+AD52,0,12,2,101,239,278,121,217,334,43,1
굓,U+AD53,0,12,3,101,239,279,121,217,335,63,1
굔,U+AD54,0,12,4,101,239,280,121,217,336,44,1
굕,U+AD55,0,12,5,101,239,281,121,217,337,45,1
굖,U+AD56,0,12,6,101,239,282,121,217,338,47,1
굗,U+AD57,0,12,7,101,239,283,121,217,339,43,1
굘,U+AD58,0,12,8,101,239,284,121,217,340,43,1
굙,U+AD59,0,12,9,101,239,285,121,217,341,53,1
굚,U+AD5A,0,12,10,101,239,286,121,217,342,51,1
굛,U+AD5B,0,12,11,101,239,287,121,217,343,51,1
굜,U+AD5C,0,12,12,101,239,288,121,217,344,65,1
굝,U+AD5D,0,12,13,101,239,289,121,217,345,45,1
굞,U+AD5E,0,12,14,101,239,290,121,217,346,51,1
굟,U+AD5F,0,12,15,101,239,291,121,217,347,61,1
굠,U+AD60,0,12,16,101,239,292,121,217,348,50,1
굡,U+AD61,0,12,17,101,239,293,121,217,349,50,1
굢,U+AD62,0,12,18,101,239,294,121,217,350,69,1
굣,U+AD63,0,12,19,101,239,295,121,217,351,55,1
굤,U+AD64,0,12,20,101,239,296,121,217,352,61,1
굥,U+AD65,0,12,21,101,239,297,121,217,353,59,1
굦,U+AD66,0,12,22,101,239,298,121,217,354,58,1
굧,U+AD67,0,12,23,101,239,299,121,217,355,49,1
굨,U+AD68,0,12,24,101,239,300,121,217,356,39,1
굩,U+AD69,0,12,25,101,239,301,121,217,357,45,1
굪,U+AD6A,0,12,26,101,239,302,121,217,358,57,1
굫,U+AD6B,0,12,27,101,239,303,121,217,359,53,1
구,U+AD6C,0,13,0,41,196,-1,41,174,-1,0,0
국,U+AD6D,0,13,1,121,240,305,121,218,333,19,1
굮,U+AD6E,0,13,2,121,240,306,121,218,334,31,1
굯,U+AD6F,0,13,3,121,240,307,121,218,335,37,1
군,U+AD70,0,13,4,121,240,308,121,218,336,23,1
굱,U+AD71,0,13,5,121,240,309,121,218,337,39,1
굲,U+AD72,0,13,6,121,240,310,121,218,338,33,1
굳,U+AD73,0,13,7,121,240,311,121,218,339,22,1
굴,U+AD74,0,13,8,121,240,312,121,218,340,23,1
굵,U+AD75,0,13,9,121,240,313,121,218,341,35,1
굶,U+AD76,0,13,10,121,240,314,121,218,342,26,1
굷,U+AD77,0,13,11,121,240,315,121,218,343,26,1
굸,U+AD78,0,13,12,121,240,316,121,218,344,40,1
굹,U+AD79,0,13,13,121,240,317,121,218,345,20,1
굺,U+AD7A,0,13,14,121,240,318,121,218,346,26,1
굻,U+AD7B,0,13,15,121,240,319,121,218,347,36,1
굼,U+AD7C,0,13,16,121,240,320,121,218,348,35,1
굽,U+AD7D,0,13,17,121,240,321,121,218,349,34,1
굾,U+AD7E,0,13,18,121,240,322,121,218,350,43,1
굿,U+AD7F,0,13,19,121,240,323,121,218,351,29,1
궀,U+AD80,0,13,20,121,240,324,121,218,352,35,1
궁,U+AD81,0,13,21,121,240,325,121,218,353,37,1
궂,U+AD82,0,13,22,121,240,326,121,218,354,22,1
궃,U+AD83,0,13,23,121,240,327,121,218,355,25,1
궄,U+AD84,0,13,24,121,240,328,121,218,356,20,1
궅,U+AD85,0,13,25,121,240,329,121,218,357,23,1
궆,U+AD86,0,13,26,121,240,330,121,218,358,32,1
궇,U+AD87,0,13,27,121,240,331,121,218,359,31,1
궈,U+AD88,0,14,0,61,197,-1,81,175,-1,0,0
궉,U+AD89,0,14,1,141,241,333,141,219,277,12,1
궊,U+AD8A,0,14,2,141,241,334,141,219,278,18,1
궋,U+AD8B,0,14,3,141,241,335,141,219,279,38,1
권,U+AD8C,0,14,4,141,241,336,141,219,280,19,1
궍,U+AD8D,0,14,5,141,241,337,141,219,281,20,1
궎,U+AD8E,0,14,6,141,241,338,141,219,282,22,1
궏,U+AD8F,0,14,7,141,241,339,141,219,283,18,1
궐,U+AD90,0,14,8,141,241,340,141,219,284,18,1
궑,U+AD91,0,14,9,141,241,341,141,219,285,28,1
궒,U+AD92,0,14,10,141,241,342,141,219,286,26,1
궓,U+AD93,0,14,11,141,241,343,141,219,287,26,1
궔,U+AD94,0,14,12,141,241,344,141,219,288,40,1
궕,U+AD95,0,14,13,141,241,345,141,219,289,20,1
궖,U+AD96,0,14,14,141,241,346,141,219,290,26,1
궗,U+AD97,0,14,15,141,241,347,141,219,291,36,1
궘,U+AD98,0,14,16,141,241,348,141,219,292,25,1
궙,U+AD99,0,14,17,141,241,349,141,219,293,25,1
궚,U+AD9A,0,14,18,141,241,350,141,219,294,44,1
궛,U+AD9B,0,14,19,141,241,351,141,219,295,30,1
궜,U+AD9C,0,14,20,141,241,352,141,219,296,36,1
궝,U+AD9D,0,14,21,141,241,353,141,219,297,34,1
궞,U+AD9E,0,14,22,141,241,354,141,219,298,33,1
궟,U+AD9F,0,14,23,141,241,355,141,219,299,24,1
궠,U+ADA0,0,14,24,141,241,356,141,219,300,14,1
궡,U+ADA1,0,14,25,141,241,357,141,219,301,20,1
궢,U+ADA2,0,14,26,141,241,358,141,219,302,32,1
궣,U+ADA3,0,14,27,141,241,359,141,219,303,28,1
궤,U+ADA4,0,15,0,61,198,-1,81,176,-1,0,0
궥,U+ADA5,0,15,1,141,242,333,141,220,305,19,1
궦,U+ADA6,0,15,2,141,242,334,141,220,306,31,1
궧,U+ADA7,0,15,3,141,242,335,141,220,307,37,1
궨,U+ADA8,0,15,4,141,242,336,141,220,308,24,1
궩,U+ADA9,0,15,5,141,242,337,141,220,309,40,1
궪,U+ADAA,0,15,6,141,242,338,141,220,310,33,1
궫,U+ADAB,0,15,7,141,242,339,141,220,311,22,1
궬,U+ADAC,0,15,8,141,242,340,141,220,312,23,1
궭,U+ADAD,0,15,9,141,242,341,141,220,313,35,1
궮,U+ADAE,0,15,10,141,242,342,141,220,314,26,1
궯,U+ADAF,0,15,11,141,242,343,141,220,315,26,1
궰,U+ADB0,0,15,12,141,242,344,141,220,316,40,1
궱,U+ADB1,0,15,13,141,242,345,141,220,317,20,1
궲,U+ADB2,0,15,14,141,242,346,141,220,318,26,1
궳,U+ADB3,0,15,15,141,242,347,141,220,319,36,1
궴,U+ADB4,0,15,16,141,242,348,141,220,320,35,1
궵,U+ADB5,0,15,17,141,242,349,141,220,321,35,1
궶,U+ADB6,0,15,18,141,242,350,141,220,322,44,1
궷,U+ADB7,0,15,19,141,242,351,141,220,323,30,1
궸,U+ADB8,0,15,20,141,242,352,141,220,324,36,1
