slot,savestate,sha256,v164_code_ok,code_failures,lineage,early_hook_word,late_hook_word,frame_tail_word,occupied_owners,owner_plane_checks,owner_plane_mismatches,active_mask,next_slot,shadow_vram_equal_cells,text_objects,matched_objects,stale_objects,stale_packets,dynamic_packets,gpu_context,ot_parity,active_ot_packets,active_ot_text_cache,active_ot_nontext_cache,static_nontext_collision_packets,static_nontext_collision_cells
1,HASH-CAA521161EBF5AAC_1.sav,DAE132C3F8A2BDCEB6D709F3D3CBE1CC9B7FA41A8A9E3120A540A760F4BC41B9,1,,v164,0x0C047205,0x0C07FC68,0x0C05DB87,1,1,0,0x00000000,1,5,1,0,0,0,1,0x801AEBA8,1,614,1,0,0,
2,HASH-CAA521161EBF5AAC_2.sav,B7E817219E5A4B70D2B0A37250E328A83F13DD12B09A0DE4F9BAE01488DA0932,1,,v164,0x0C047205,0x0C07FC68,0x0C05DB87,1,1,0,0x00000000,1,5,1,0,0,0,0,0x801AE1E4,0,698,0,0,33,"0,17 0,19 0,20 1,11 1,17 1,2 1,4 1,7 10,10 10,18 10,9 11,17 11,5 2,0 2,11 2,9 6,7"
3,HASH-CAA521161EBF5AAC_3.sav,F01CF367A3FED8968249658CC73467124C594891F59D56B49B0781E313AFA4E6,1,,v164,0x0C047205,0x0C07FC68,0x0C05DB87,1,1,0,0x00000000,1,5,2,0,0,0,0,0x801AEBA8,1,714,0,0,0,
4,HASH-CAA521161EBF5AAC_4.sav,ABD10EACE8CEB26647F950AC5A798BE72DE69B967281E33061FEB26EC4131086,1,,v164,0x0C047205,0x0C07FC68,0x0C05DB87,3,3,0,0x00000000,3,5,3,0,0,0,0,0x801AE1E4,0,734,0,0,6,"0,19 1,17 10,12 12,7 6,20 9,7"
5,HASH-CAA521161EBF5AAC_5.sav,4C9BBCAE77B3DA1FC332A7023234A14857F4FF0F68C57B4E1DB74759506C61BB,1,,v164,0x0C047205,0x0C07FC68,0x0C05DB87,4,4,0,0x00000000,4,5,3,0,0,0,0,0x801AE1E4,0,733,0,0,4,"0,19 1,17 10,0 2,10"
6,HASH-CAA521161EBF5AAC_6.sav,1D07C2D309DAEF6B9D62CADEAAB8B5082337F11B42EED722949A0837B97ACA8F,1,,v164,0x0C047205,0x0C07FC68,0x0C05DB87,7,7,0,0x00000000,7,5,3,0,0,0,0,0x801AE1E4,0,731,0,0,1,"1,17"
7,HASH-CAA521161EBF5AAC_7.sav,68DEC809C43F8AA02687AA6040CEAEC12DFD720AC57F6122F8555E66D5BC905E,1,,v164,0x0C047205,0x0C07FC68,0x0C05DB87,7,7,0,0x00000000,7,5,3,0,0,0,1,0x801AE1E4,0,686,0,0,1,"10,0 10,1 10,2 11,0 11,2 12,0 12,2 13,0 13,1 13,2"
8,HASH-CAA521161EBF5AAC_8.sav,5681FB2CAE10036CCE4869267C3957C8BC6FEF369AAC069C4D104E965F514723,1,,v164,0x0C047205,0x0C07FC68,0x0C05DB87,7,7,0,0x00000000,7,5,3,0,0,0,1,0x801AEBA8,1,725,1,0,0,
