offset,original,current,classification
0x8042D,34,0A,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8042E,00,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8042F,00,7B,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80430,A2,53,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80431,64,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80432,34,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80433,60,09,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80434,34,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80435,80,50,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80436,47,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80437,5C,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80438,31,19,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80439,34,24,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8043A,00,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8043B,00,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8043C,A2,66,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8043D,64,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8043E,34,EF,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8043F,60,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80440,34,4A,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80441,80,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80442,47,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80443,5C,24,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80444,31,56,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80445,34,19,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80446,00,29,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80447,00,54,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80448,DD,2D,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80449,A9,07,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8044A,DF,3B,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8044B,07,D1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8044C,1C,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8044D,D2,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8044E,26,28,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8044F,1E,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80450,00,2B,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80451,00,53,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80452,00,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80453,00,04,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80454,3B,DF,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80455,1E,52,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80456,DE,03,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80457,1B,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80458,1C,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80459,92,36,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8045A,00,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8045B,00,34,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8045C,4E,0F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8045D,57,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8045F,39,89,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80461,03,C9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80462,47,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80463,1C,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80464,92,40,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80465,00,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80466,00,78,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80467,00,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80468,DE,17,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80469,F9,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8046A,DD,12,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8046B,DF,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8046C,DD,9B,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8046D,5A,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8046E,00,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8046F,00,6C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80470,57,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80471,31,B0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80472,4E,29,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80473,1C,09,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80474,DE,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80475,56,29,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80476,DE,0C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80477,34,04,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80479,00,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8047A,00,8C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8047B,00,0C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8047D,04,42,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8047E,20,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8047F,39,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80480,1C,10,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80481,DE,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80482,56,0A,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80483,DE,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80484,34,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80485,00,8D,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80486,00,3D,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80487,00,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80488,A6,3F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80489,6F,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8048A,65,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8048B,1C,07,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8048C,DE,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8048D,56,65,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8048E,DE,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8048F,34,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80490,00,96,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80491,00,30,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80492,00,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80493,00,5B,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80494,DD,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80495,47,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80496,7E,AF,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80497,1C,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80498,DE,82,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80499,0C,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8049A,00,01,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8049B,00,58,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8049C,3C,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8049D,3C,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8049E,3C,0C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8049F,3C,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x804A0,3C,0C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x804A1,00,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x804A2,00,42,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x804A4,24,E2,CATALOG_POINTER
0x804A5,AA,BA,CATALOG_POINTER
0x804A8,2C,35,CATALOG_POINTER
0x804A9,AA,BE,CATALOG_POINTER
0x804AC,34,B5,CATALOG_POINTER
0x804AD,AA,BA,CATALOG_POINTER
0x804B0,40,F4,CATALOG_POINTER
0x804B1,AA,BA,CATALOG_POINTER
0x804B4,4C,16,CATALOG_POINTER
0x804B5,AA,AC,CATALOG_POINTER
0x804B8,54,D5,CATALOG_POINTER
0x804B9,AA,BC,CATALOG_POINTER
0x804BC,60,EA,CATALOG_POINTER
0x804BD,AA,AB,CATALOG_POINTER
0x804C0,6C,D5,CATALOG_POINTER
0x804C1,AA,BD,CATALOG_POINTER
0x804C4,74,E4,CATALOG_POINTER
0x804C8,80,57,CATALOG_POINTER
0x804C9,AA,BB,CATALOG_POINTER
0x804CC,88,22,CATALOG_POINTER
0x804CD,AA,AE,CATALOG_POINTER
0x804D0,90,1F,CATALOG_POINTER
0x804D1,AA,C8,CATALOG_POINTER
0x804D4,9C,39,CATALOG_POINTER
0x804D5,AA,C8,CATALOG_POINTER
0x804D8,A8,EF,CATALOG_POINTER
0x804D9,AA,BE,CATALOG_POINTER
0x804DC,B0,F8,CATALOG_POINTER
0x804DD,AA,C7,CATALOG_POINTER
0x804E0,BC,1A,CATALOG_POINTER
0x804E1,AA,AF,CATALOG_POINTER
0x804E4,C4,87,CATALOG_POINTER
0x804E5,AA,B0,CATALOG_POINTER
0x804E8,CC,72,CATALOG_POINTER
0x804E9,AA,C0,CATALOG_POINTER
0x804EC,D4,F4,CATALOG_POINTER
0x804ED,AA,BF,CATALOG_POINTER
0x804F0,E0,6E,CATALOG_POINTER
0x804F1,AA,C2,CATALOG_POINTER
0x804F4,EC,ED,CATALOG_POINTER
0x804F5,AA,BD,CATALOG_POINTER
0x804F8,F8,37,CATALOG_POINTER
0x804F9,AA,AE,CATALOG_POINTER
0x804FC,00,30,CATALOG_POINTER
0x804FD,AB,AE,CATALOG_POINTER
0x80500,08,36,CATALOG_POINTER
0x80501,AB,C0,CATALOG_POINTER
0x80504,14,B0,CATALOG_POINTER
0x80505,AB,BE,CATALOG_POINTER
0x80508,20,9E,CATALOG_POINTER
0x80509,AB,C1,CATALOG_POINTER
0x8050C,28,35,CATALOG_POINTER
0x8050D,AB,BD,CATALOG_POINTER
0x80510,34,4E,CATALOG_POINTER
0x80511,AB,BB,CATALOG_POINTER
0x80514,3C,B1,CATALOG_POINTER
0x80515,AB,B8,CATALOG_POINTER
0x80518,48,75,CATALOG_POINTER
0x80519,AB,BD,CATALOG_POINTER
0x8051C,50,34,CATALOG_POINTER
0x8051D,AB,C3,CATALOG_POINTER
0x80520,5C,C7,CATALOG_POINTER
0x80521,AB,BA,CATALOG_POINTER
0x80524,68,2B,CATALOG_POINTER
0x80525,AB,B0,CATALOG_POINTER
0x80528,6C,4D,CATALOG_POINTER
0x80529,AB,BC,CATALOG_POINTER
0x8052C,78,60,CATALOG_POINTER
0x8052D,AB,BB,CATALOG_POINTER
0x80530,80,A5,CATALOG_POINTER
0x80531,AB,BC,CATALOG_POINTER
0x80534,8C,7C,CATALOG_POINTER
0x80535,AB,C0,CATALOG_POINTER
0x80538,98,48,CATALOG_POINTER
0x80539,AB,C2,CATALOG_POINTER
0x8053C,A4,58,CATALOG_POINTER
0x8053D,AB,C1,CATALOG_POINTER
0x80540,AC,AB,CATALOG_POINTER
0x80541,AB,AD,CATALOG_POINTER
0x80544,B4,07,CATALOG_POINTER
0x80545,AB,C3,CATALOG_POINTER
0x80548,BC,4D,CATALOG_POINTER
0x80549,AB,AC,CATALOG_POINTER
0x8054C,C4,5B,CATALOG_POINTER
0x80550,D0,9B,CATALOG_POINTER
0x80551,AB,AF,CATALOG_POINTER
0x80554,D8,4A,CATALOG_POINTER
0x80555,AB,AF,CATALOG_POINTER
0x80558,E0,96,CATALOG_POINTER
0x80559,AB,AE,CATALOG_POINTER
0x8055C,E8,D7,CATALOG_POINTER
0x8055D,AB,AF,CATALOG_POINTER
0x80560,F0,BD,CATALOG_POINTER
0x80561,AB,BD,CATALOG_POINTER
0x80564,F8,C9,CATALOG_POINTER
0x80568,04,BE,CATALOG_POINTER
0x80569,AC,AB,CATALOG_POINTER
0x8056C,0C,25,CATALOG_POINTER
0x8056D,AC,BC,CATALOG_POINTER
0x80570,18,C2,CATALOG_POINTER
0x80571,AC,C0,CATALOG_POINTER
0x80574,24,C2,CATALOG_POINTER
0x80575,AC,C0,CATALOG_POINTER
0x80578,30,C2,CATALOG_POINTER
0x80579,AC,C0,CATALOG_POINTER
0x8057C,3C,C2,CATALOG_POINTER
0x8057D,AC,C0,CATALOG_POINTER
0x80580,48,DA,CATALOG_POINTER
0x80581,AC,C1,CATALOG_POINTER
0x80584,54,4D,CATALOG_POINTER
0x80585,AC,BE,CATALOG_POINTER
0x80588,5C,F8,CATALOG_POINTER
0x80589,AC,C1,CATALOG_POINTER
0x8058C,68,F6,CATALOG_POINTER
0x8058D,AC,AE,CATALOG_POINTER
0x80590,70,6D,CATALOG_POINTER
0x80591,AC,BD,CATALOG_POINTER
0x80594,7C,AE,CATALOG_POINTER
0x80595,AC,C0,CATALOG_POINTER
0x80598,88,72,CATALOG_POINTER
0x80599,AC,BB,CATALOG_POINTER
0x8059C,94,F4,CATALOG_POINTER
0x8059D,AC,C0,CATALOG_POINTER
0x805A0,9C,08,CATALOG_POINTER
0x805A1,AC,AF,CATALOG_POINTER
0x805A4,BF,45,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805A5,DE,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805A6,ED,2B,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805A7,1C,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805A8,D0,8B,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805A9,B1,69,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805AA,23,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805AB,DD,4F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805AC,19,34,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805AD,3E,0F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805AE,1D,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805AF,39,50,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805B0,27,95,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805B1,2B,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805B2,00,50,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805B3,00,3A,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805B4,B8,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805B5,DE,87,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805B6,ED,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805B7,1C,FC,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805B8,D0,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805B9,B1,50,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805BA,23,3A,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805BB,DD,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805BC,19,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805BD,3E,29,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805BE,1D,04,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805BF,39,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805C0,27,56,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805C1,2B,7C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805C2,00,0F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805C3,00,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805C4,5B,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805C5,DD,29,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805C6,3B,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805C7,5F,72,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805C8,7F,09,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805C9,31,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805CA,5A,0C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805CB,2F,07,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805CC,9E,01,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805CD,DD,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805CE,96,7E,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805CF,1E,58,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805D0,27,D5,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805D1,2B,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805D2,00,08,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805D3,00,25,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805D4,A4,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805D5,B2,81,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805D6,1C,30,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805D7,DD,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805D8,FA,19,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805D9,DD,86,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805DA,90,17,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805DB,1C,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805DC,9E,8F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805DD,DD,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805DE,2C,09,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805E0,46,06,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805E1,2A,30,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805E2,50,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805E3,44,8F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805E4,3E,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805E5,1D,6E,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805E6,39,3D,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805E7,27,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805E8,2B,B3,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805EA,00,9B,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805EB,00,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805EC,63,15,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805ED,93,8F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805EE,30,86,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805EF,86,17,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805F0,22,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805F1,DD,AA,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805F2,DE,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805F3,DE,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805F4,75,62,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805F6,D2,D1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805F7,2A,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805F8,13,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805F9,DF,0C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805FA,17,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805FB,23,0C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805FC,1D,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805FD,39,42,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805FE,27,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x805FF,2B,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80600,00,1E,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80601,00,DF,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80602,00,58,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80603,00,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80604,DD,27,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80605,1B,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80606,61,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80607,2A,29,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80608,12,14,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80609,11,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8060A,06,2B,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8060B,B9,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8060C,DD,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8060D,59,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8060E,1E,3C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8060F,27,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80610,2B,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80611,00,20,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80612,00,24,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80614,5B,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80615,DD,3F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80616,B9,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80617,39,10,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80618,5A,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80619,2F,4C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8061A,9E,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8061C,96,3F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8061D,1E,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8061E,27,10,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8061F,2B,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80620,00,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80622,00,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80623,00,53,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80624,DD,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80625,A6,1A,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80626,DD,8F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80627,AD,30,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80628,61,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80629,2A,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8062A,14,66,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8062B,11,25,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8062C,06,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8062D,B9,81,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8062E,DD,64,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8062F,59,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80630,1E,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80631,27,6C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80632,2B,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80633,09,56,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80634,6C,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80635,69,0B,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80636,34,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80638,02,6C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x80639,57,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8063A,0A,56,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8063B,00,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8063C,5B,4A,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8063D,DE,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8063E,04,DD,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x8063F,9C,A1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
