state,packet_offset,x,y,u,v,clut,physical_index,source_code_hex,char
HASH-FAFC77B9D472EFCF_1,0x1EFFE0,206,120,0,168,32705,1177,E0 C1,다
HASH-FAFC77B9D472EFCF_1,0x1EFFF4,206,120,0,168,32705,1177,E0 C1,다
HASH-FAFC77B9D472EFCF_1,0x1F079C,18,214,192,228,31425,1661,E2 A7,
HASH-FAFC77B9D472EFCF_1,0x1F07B0,18,214,192,228,31425,1661,E2 A7,
HASH-FAFC77B9D472EFCF_1,0x1F07D0,32,214,12,168,32706,1182,E0 C6,공
HASH-FAFC77B9D472EFCF_1,0x1F07E4,32,214,12,168,32706,1182,E0 C6,공
HASH-FAFC77B9D472EFCF_1,0x1F0804,44,214,120,144,32704,1048,E0 40,격
HASH-FAFC77B9D472EFCF_1,0x1F0818,44,214,120,144,32704,1048,E0 40,격
HASH-FAFC77B9D472EFCF_1,0x1F0838,56,214,84,132,32707,955,DF E2,","
HASH-FAFC77B9D472EFCF_1,0x1F084C,56,214,84,132,32707,955,DF E2,","
HASH-FAFC77B9D472EFCF_1,0x1F086C,68,214,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F0880,68,214,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F08A0,74,214,204,228,31425,1665,E2 AB,겐
HASH-FAFC77B9D472EFCF_1,0x1F08B4,74,214,204,228,31425,1665,E2 AB,겐
HASH-FAFC77B9D472EFCF_1,0x1F08D4,88,214,180,180,32704,1320,E1 51,림
HASH-FAFC77B9D472EFCF_1,0x1F08E8,88,214,180,180,32704,1320,E1 51,림
HASH-FAFC77B9D472EFCF_1,0x1F0908,100,214,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F091C,100,214,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F093C,106,214,204,156,32706,1162,E0 B2,열
HASH-FAFC77B9D472EFCF_1,0x1F0950,106,214,204,156,32706,1162,E0 B2,열
HASH-FAFC77B9D472EFCF_1,0x1F0970,118,214,192,156,32704,1156,E0 AC,기
HASH-FAFC77B9D472EFCF_1,0x1F0984,118,214,192,156,32704,1156,E0 AC,기
HASH-FAFC77B9D472EFCF_1,0x1F09A4,154,104,168,144,32707,1067,E0 53,비
HASH-FAFC77B9D472EFCF_1,0x1F09B8,154,104,168,144,32707,1067,E0 53,비
HASH-FAFC77B9D472EFCF_1,0x1F09D8,166,104,12,168,32704,1180,E0 C4,하
HASH-FAFC77B9D472EFCF_1,0x1F09EC,166,104,12,168,32704,1180,E0 C4,하
HASH-FAFC77B9D472EFCF_1,0x1F0A0C,178,104,216,144,32705,1081,E0 61,시
HASH-FAFC77B9D472EFCF_1,0x1F0A20,178,104,216,144,32705,1081,E0 61,시
HASH-FAFC77B9D472EFCF_1,0x1F0A40,190,104,180,156,32704,1152,E0 A8,겠
HASH-FAFC77B9D472EFCF_1,0x1F0A54,190,104,180,156,32704,1152,E0 A8,겠
HASH-FAFC77B9D472EFCF_1,0x1F0A74,202,104,204,144,32707,1079,E0 5F,습
HASH-FAFC77B9D472EFCF_1,0x1F0A88,202,104,204,144,32707,1079,E0 5F,습
HASH-FAFC77B9D472EFCF_1,0x1F0AA8,214,104,84,144,32705,1037,E0 35,니
HASH-FAFC77B9D472EFCF_1,0x1F0ABC,214,104,84,144,32705,1037,E0 35,니
HASH-FAFC77B9D472EFCF_1,0x1F0ADC,226,104,180,108,32706,818,DF 59,까
HASH-FAFC77B9D472EFCF_1,0x1F0AF0,226,104,180,108,32706,818,DF 59,까
HASH-FAFC77B9D472EFCF_1,0x1F0B10,238,104,132,144,32707,1055,E0 47,?
HASH-FAFC77B9D472EFCF_1,0x1F0B24,238,104,132,144,32707,1055,E0 47,?
HASH-FAFC77B9D472EFCF_1,0x1F0B44,102,122,240,96,32707,755,DF 1A,예
HASH-FAFC77B9D472EFCF_1,0x1F0B58,102,122,240,96,32707,755,DF 1A,예
HASH-FAFC77B9D472EFCF_1,0x1F0B78,114,122,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F0B8C,114,122,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F0BAC,120,122,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F0BC0,120,122,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F0BE0,126,122,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F0BF4,126,122,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F0C14,132,122,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F0C28,132,122,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F0C48,138,122,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F0C5C,138,122,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F0C7C,144,122,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F0C90,144,122,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F0CB0,150,122,144,156,32704,1140,E0 9C,아
HASH-FAFC77B9D472EFCF_1,0x1F0CC4,150,122,144,156,32704,1140,E0 9C,아
HASH-FAFC77B9D472EFCF_1,0x1F0CE4,162,122,84,144,32705,1037,E0 35,니
HASH-FAFC77B9D472EFCF_1,0x1F0CF8,162,122,84,144,32705,1037,E0 35,니
HASH-FAFC77B9D472EFCF_1,0x1F0D18,174,122,228,144,32706,1086,E0 66,요
HASH-FAFC77B9D472EFCF_1,0x1F0D2C,174,122,228,144,32706,1086,E0 66,요
HASH-FAFC77B9D472EFCF_1,0x1F1A78,88,149,180,180,32705,1321,E1 52,마
HASH-FAFC77B9D472EFCF_1,0x1F1A8C,88,149,180,180,32705,1321,E1 52,마
HASH-FAFC77B9D472EFCF_1,0x1F1AAC,100,149,144,180,32706,1310,E1 47,력
HASH-FAFC77B9D472EFCF_1,0x1F1AC0,100,149,144,180,32706,1310,E1 47,력
HASH-FAFC77B9D472EFCF_1,0x1F1AE0,112,149,156,204,32704,1480,E1 F1,의
HASH-FAFC77B9D472EFCF_1,0x1F1AF4,112,149,156,204,32704,1480,E1 F1,의
HASH-FAFC77B9D472EFCF_1,0x1F1B14,124,149,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F1B28,124,149,204,12,32707,155,9C, 
HASH-FAFC77B9D472EFCF_1,0x1F1B48,130,149,16,224,32707,1519,E2 19,
HASH-FAFC77B9D472EFCF_1,0x1F1B5C,130,149,16,224,32707,1519,E2 19,
