state,savestate,sha256,game_id,file_size,ram_base,vram_base,runtime_COMM_exact,exe_different_words,text_objects,framebuffer_visible_objects,media_paths
1,HASH-D067DE27F6E11E33_1.sav,12CFA4F425572C0F802EB24DC016A81171E52F9BE0EBFC3F6C00D6C5010B4C86,V338,1640970,0x1A62,0x201DDC,0,1441,5,3,
2,HASH-D067DE27F6E11E33_2.sav,EF4AB4AFE4CFA9D556B74FF2EFC01371676F736C9BE20377FBEE47E229D1D60F,V338,1624410,0x1A62,0x201DDC,0,1441,5,2,
3,HASH-D067DE27F6E11E33_3.sav,996A3322135D89860C3BA69302FEB182AC24CD9ABEADFF1537566375B2C3F0D2,V338,1744104,0x1A62,0x201DDC,0,1454,5,1,
4,HASH-D067DE27F6E11E33_4.sav,36D105351EDA91D714C957C86F521E0530BBE59324A7D9912E7BF295393B1082,V338,1743940,0x1A62,0x201DDC,0,1454,5,1,
5,HASH-D067DE27F6E11E33_5.sav,1A99D4488224D4ABAF710377BE9AB52D8BB2D86549B34997C2237FA1888C8790,V338,1764939,0x1A62,0x201DDC,0,1459,5,3,
6,HASH-D067DE27F6E11E33_6.sav,7FD349A1B1F11C897122A59DB2C3B06570652C79FED778AC4FD1ABB9233873BC,V338,1732734,0x1A62,0x201DDC,0,1459,5,2,
7,HASH-D067DE27F6E11E33_7.sav,606669E6D5E4F6B308252DF2141654B34236EA008D99CA07C794387E276375B1,V338,1723595,0x1A62,0x201DDC,0,1454,5,1,
8,HASH-D067DE27F6E11E33_8.sav,AD30C726D6A3B5FB70265EE6EA45847B0A13DDB36A269896A6174C15C2A9C40A,V338,1744768,0x1A62,0x201DDC,0,1460,5,1,
